LAT,LONG,DATE,Ztime
47.534881, -111.723266,40323,20500600
47.534881, -111.723266,40323,20500600
47.534893, -111.723289,40323,20500700
47.534893, -111.723289,40323,20500700
47.534896, -111.723312,40323,20500800
47.534896, -111.723312,40323,20500800
47.534900, -111.723335,40323,20500900
47.534900, -111.723335,40323,20500900
47.534896, -111.723350,40323,20501000
47.534896, -111.723350,40323,20501000
47.534896, -111.723365,40323,20501100
47.534896, -111.723365,40323,20501100
47.534896, -111.723388,40323,20501200
47.534896, -111.723388,40323,20501200
47.534896, -111.723411,40323,20501300
47.534896, -111.723411,40323,20501300
47.534893, -111.723426,40323,20501400
47.534893, -111.723426,40323,20501400
47.534885, -111.723449,40323,20501500
47.534885, -111.723449,40323,20501500
47.534881, -111.723464,40323,20501600
47.534881, -111.723464,40323,20501600
47.534877, -111.723480,40323,20501700
47.534877, -111.723480,40323,20501700
47.534870, -111.723503,40323,20501800
47.534870, -111.723503,40323,20501800
47.534870, -111.723518,40323,20501900
47.534870, -111.723518,40323,20501900
47.534866, -111.723533,40323,20502000
47.534866, -111.723533,40323,20502000
47.534866, -111.723541,40323,20502100
47.534866, -111.723541,40323,20502100
47.534866, -111.723548,40323,20502200
47.534866, -111.723548,40323,20502200
47.534866, -111.723564,40323,20502300
47.534866, -111.723564,40323,20502300
47.534858, -111.723579,40323,20502400
47.534858, -111.723579,40323,20502400
47.534847, -111.723594,40323,20502500
47.534847, -111.723594,40323,20502500
47.534832, -111.723602,40323,20502600
47.534832, -111.723602,40323,20502600
47.534820, -111.723602,40323,20502700
47.534820, -111.723602,40323,20502700
47.534805, -111.723617,40323,20502800
47.534805, -111.723617,40323,20502800
47.534790, -111.723632,40323,20502900
47.534790, -111.723632,40323,20502900
47.534812, -111.723640,40323,20503000
47.534812, -111.723640,40323,20503000
47.534824, -111.723640,40323,20503100
47.534824, -111.723640,40323,20503100
47.534835, -111.723648,40323,20503200
47.534835, -111.723648,40323,20503200
47.534847, -111.723655,40323,20503300
47.534847, -111.723655,40323,20503300
47.534858, -111.723663,40323,20503400
47.534858, -111.723663,40323,20503400
47.534866, -111.723678,40323,20503500
47.534866, -111.723678,40323,20503500
47.534873, -111.723686,40323,20503600
47.534873, -111.723686,40323,20503600
47.534881, -111.723701,40323,20503700
47.534881, -111.723701,40323,20503700
47.534889, -111.723716,40323,20503800
47.534889, -111.723716,40323,20503800
47.534896, -111.723739,40323,20503900
47.534896, -111.723739,40323,20503900
47.534908, -111.723747,40323,20504000
47.534908, -111.723747,40323,20504000
47.534915, -111.723754,40323,20504100
47.534915, -111.723754,40323,20504100
47.534919, -111.723770,40323,20504200
47.534919, -111.723770,40323,20504200
47.534927, -111.723777,40323,20504300
47.534927, -111.723777,40323,20504300
47.534934, -111.723793,40323,20504400
47.534934, -111.723793,40323,20504400
47.534934, -111.723808,40323,20504500
47.534934, -111.723808,40323,20504500
47.534934, -111.723823,40323,20504600
47.534934, -111.723823,40323,20504600
47.534931, -111.723838,40323,20504700
47.534931, -111.723838,40323,20504700
47.534927, -111.723854,40323,20504800
47.534927, -111.723854,40323,20504800
47.534927, -111.723869,40323,20504900
47.534927, -111.723869,40323,20504900
47.534927, -111.723884,40323,20505000
47.534927, -111.723884,40323,20505000
47.534919, -111.723899,40323,20505100
47.534919, -111.723899,40323,20505100
47.534912, -111.723915,40323,20505200
47.534912, -111.723915,40323,20505200
47.534908, -111.723930,40323,20505300
47.534908, -111.723930,40323,20505300
47.534912, -111.723937,40323,20505400
47.534912, -111.723937,40323,20505400
47.534915, -111.723953,40323,20505500
47.534915, -111.723953,40323,20505500
47.534915, -111.723968,40323,20505600
47.534915, -111.723968,40323,20505600
47.534915, -111.723991,40323,20505700
47.534915, -111.723991,40323,20505700
47.534919, -111.724006,40323,20505800
47.534919, -111.724006,40323,20505800
47.534919, -111.724021,40323,20505900
47.534919, -111.724021,40323,20505900
47.534915, -111.724052,40323,20510000
47.534915, -111.724052,40323,20510000
47.534912, -111.724075,40323,20510100
47.534912, -111.724075,40323,20510100
47.534912, -111.724098,40323,20510200
47.534912, -111.724098,40323,20510200
47.534915, -111.724113,40323,20510300
47.534915, -111.724113,40323,20510300
47.534919, -111.724136,40323,20510400
47.534919, -111.724136,40323,20510400
47.534919, -111.724151,40323,20510500
47.534919, -111.724151,40323,20510500
47.534919, -111.724166,40323,20510600
47.534919, -111.724166,40323,20510600
47.534919, -111.724189,40323,20510700
47.534919, -111.724189,40323,20510700
47.534919, -111.724205,40323,20510800
47.534919, -111.724205,40323,20510800
47.534923, -111.724227,40323,20510900
47.534923, -111.724227,40323,20510900
47.534927, -111.724235,40323,20511000
47.534927, -111.724235,40323,20511000
47.534934, -111.724243,40323,20511100
47.534934, -111.724243,40323,20511100
47.534938, -111.724250,40323,20511200
47.534938, -111.724250,40323,20511200
47.534942, -111.724266,40323,20511300
47.534942, -111.724266,40323,20511300
47.534950, -111.724281,40323,20511400
47.534950, -111.724281,40323,20511400
47.534954, -111.724288,40323,20511500
47.534954, -111.724288,40323,20511500
47.534954, -111.724296,40323,20511600
47.534954, -111.724296,40323,20511600
47.534950, -111.724304,40323,20511700
47.534950, -111.724304,40323,20511700
47.534950, -111.724319,40323,20511800
47.534950, -111.724319,40323,20511800
47.534942, -111.724334,40323,20511900
47.534942, -111.724334,40323,20511900
47.534938, -111.724342,40323,20512000
47.534938, -111.724342,40323,20512000
47.534938, -111.724365,40323,20512100
47.534938, -111.724365,40323,20512100
47.534934, -111.724372,40323,20512200
47.534934, -111.724372,40323,20512200
47.534938, -111.724380,40323,20512300
47.534938, -111.724380,40323,20512300
47.534934, -111.724388,40323,20512400
47.534934, -111.724388,40323,20512400
47.534931, -111.724403,40323,20512500
47.534931, -111.724403,40323,20512500
47.534923, -111.724403,40323,20512600
47.534923, -111.724403,40323,20512600
47.534915, -111.724411,40323,20512700
47.534915, -111.724411,40323,20512700
47.534908, -111.724418,40323,20512800
47.534908, -111.724418,40323,20512800
47.534896, -111.724426,40323,20512900
47.534896, -111.724426,40323,20512900
47.534893, -111.724433,40323,20513000
47.534893, -111.724433,40323,20513000
47.534885, -111.724441,40323,20513100
47.534885, -111.724441,40323,20513100
47.534881, -111.724449,40323,20513200
47.534881, -111.724449,40323,20513200
47.534873, -111.724464,40323,20513300
47.534873, -111.724464,40323,20513300
47.534870, -111.724472,40323,20513400
47.534870, -111.724472,40323,20513400
47.534870, -111.724494,40323,20513500
47.534870, -111.724494,40323,20513500
47.534870, -111.724502,40323,20513600
47.534870, -111.724502,40323,20513600
47.534870, -111.724517,40323,20513700
47.534870, -111.724517,40323,20513700
47.534870, -111.724533,40323,20513800
47.534870, -111.724533,40323,20513800
47.534877, -111.724533,40323,20513900
47.534877, -111.724533,40323,20513900
47.534881, -111.724533,40323,20514000
47.534881, -111.724533,40323,20514000
47.534889, -111.724533,40323,20514100
47.534889, -111.724533,40323,20514100
47.534896, -111.724540,40323,20514200
47.534896, -111.724540,40323,20514200
47.534896, -111.724540,40323,20514300
47.534896, -111.724540,40323,20514300
47.534896, -111.724540,40323,20514400
47.534896, -111.724540,40323,20514400
47.534896, -111.724548,40323,20514500
47.534896, -111.724548,40323,20514500
47.534896, -111.724555,40323,20514600
47.534896, -111.724555,40323,20514600
47.534896, -111.724555,40323,20514700
47.534896, -111.724555,40323,20514700
47.534896, -111.724563,40323,20514800
47.534896, -111.724563,40323,20514800
47.534896, -111.724563,40323,20514900
47.534896, -111.724563,40323,20514900
47.534896, -111.724563,40323,20515000
47.534896, -111.724563,40323,20515000
47.534889, -111.724563,40323,20515100
47.534889, -111.724563,40323,20515100
47.534881, -111.724563,40323,20515200
47.534881, -111.724563,40323,20515200
47.534870, -111.724571,40323,20515300
47.534870, -111.724571,40323,20515300
47.534854, -111.724571,40323,20515400
47.534854, -111.724571,40323,20515400
47.534843, -111.724578,40323,20515500
47.534843, -111.724578,40323,20515500
47.534832, -111.724586,40323,20515600
47.534832, -111.724586,40323,20515600
47.534824, -111.724594,40323,20515700
47.534824, -111.724594,40323,20515700
47.534812, -111.724601,40323,20515800
47.534812, -111.724601,40323,20515800
47.534805, -111.724609,40323,20515900
47.534805, -111.724609,40323,20515900
47.534801, -111.724601,40323,20520000
47.534801, -111.724601,40323,20520000
47.534786, -111.724601,40323,20520100
47.534786, -111.724601,40323,20520100
47.534778, -111.724601,40323,20520200
47.534778, -111.724601,40323,20520200
47.534763, -111.724594,40323,20520300
47.534763, -111.724594,40323,20520300
47.534755, -111.724586,40323,20520400
47.534755, -111.724586,40323,20520400
47.534748, -111.724571,40323,20520500
47.534748, -111.724571,40323,20520500
47.534740, -111.724563,40323,20520600
47.534740, -111.724563,40323,20520600
47.534732, -111.724555,40323,20520700
47.534732, -111.724555,40323,20520700
47.534721, -111.724555,40323,20520800
47.534721, -111.724555,40323,20520800
47.534709, -111.724555,40323,20520900
47.534709, -111.724555,40323,20520900
47.534706, -111.724555,40323,20521000
47.534706, -111.724555,40323,20521000
47.534698, -111.724548,40323,20521100
47.534698, -111.724548,40323,20521100
47.534690, -111.724548,40323,20521200
47.534690, -111.724548,40323,20521200
47.534683, -111.724548,40323,20521300
47.534683, -111.724548,40323,20521300
47.534667, -111.724555,40323,20521400
47.534667, -111.724555,40323,20521400
47.534656, -111.724555,40323,20521500
47.534656, -111.724555,40323,20521500
47.534648, -111.724555,40323,20521600
47.534648, -111.724555,40323,20521600
47.534637, -111.724555,40323,20521700
47.534637, -111.724555,40323,20521700
47.534626, -111.724555,40323,20521800
47.534626, -111.724555,40323,20521800
47.534618, -111.724563,40323,20521900
47.534618, -111.724563,40323,20521900
47.534610, -111.724571,40323,20522000
47.534610, -111.724571,40323,20522000
47.534603, -111.724578,40323,20522100
47.534603, -111.724578,40323,20522100
47.534599, -111.724586,40323,20522200
47.534599, -111.724586,40323,20522200
47.534595, -111.724594,40323,20522300
47.534595, -111.724594,40323,20522300
47.534603, -111.724601,40323,20522400
47.534603, -111.724601,40323,20522400
47.534603, -111.724601,40323,20522500
47.534603, -111.724601,40323,20522500
47.534603, -111.724601,40323,20522600
47.534603, -111.724601,40323,20522600
47.534603, -111.724601,40323,20522700
47.534603, -111.724601,40323,20522700
47.534603, -111.724594,40323,20522800
47.534603, -111.724594,40323,20522800
47.534606, -111.724594,40323,20522900
47.534606, -111.724594,40323,20522900
47.534610, -111.724594,40323,20523000
47.534610, -111.724594,40323,20523000
47.534610, -111.724594,40323,20523100
47.534610, -111.724594,40323,20523100
47.534610, -111.724594,40323,20523200
47.534610, -111.724594,40323,20523200
47.534610, -111.724594,40323,20523300
47.534610, -111.724594,40323,20523300
47.534610, -111.724586,40323,20523400
47.534610, -111.724586,40323,20523400
47.534599, -111.724571,40323,20523500
47.534599, -111.724571,40323,20523500
47.534587, -111.724563,40323,20523600
47.534587, -111.724563,40323,20523600
47.534584, -111.724548,40323,20523700
47.534584, -111.724548,40323,20523700
47.534580, -111.724540,40323,20523800
47.534580, -111.724540,40323,20523800
47.534584, -111.724525,40323,20523900
47.534584, -111.724525,40323,20523900
47.534584, -111.724517,40323,20524000
47.534584, -111.724517,40323,20524000
47.534580, -111.724510,40323,20524100
47.534580, -111.724510,40323,20524100
47.534576, -111.724502,40323,20524200
47.534576, -111.724502,40323,20524200
47.534564, -111.724502,40323,20524300
47.534564, -111.724502,40323,20524300
47.534557, -111.724502,40323,20524400
47.534557, -111.724502,40323,20524400
47.534545, -111.724510,40323,20524500
47.534545, -111.724510,40323,20524500
47.534534, -111.724517,40323,20524600
47.534534, -111.724517,40323,20524600
47.534526, -111.724533,40323,20524700
47.534526, -111.724533,40323,20524700
47.534519, -111.724540,40323,20524800
47.534519, -111.724540,40323,20524800
47.534515, -111.724548,40323,20524900
47.534515, -111.724548,40323,20524900
47.534511, -111.724563,40323,20525000
47.534511, -111.724563,40323,20525000
47.534511, -111.724571,40323,20525100
47.534511, -111.724571,40323,20525100
47.534503, -111.724578,40323,20525200
47.534503, -111.724578,40323,20525200
